PING 95.120.255.29 (95.120.255.29) 8192(8220) bytes of data.
8200 bytes from 95.120.255.29: icmp_seq=1 ttl=58 time=240 ms
8200 bytes from 95.120.255.29: icmp_seq=2 ttl=58 time=263 ms
8200 bytes from 95.120.255.29: icmp_seq=3 ttl=58 time=286 ms
8200 bytes from 95.120.255.29: icmp_seq=4 ttl=58 time=309 ms
8200 bytes from 95.120.255.29: icmp_seq=5 ttl=58 time=332 ms
8200 bytes from 95.120.255.29: icmp_seq=6 ttl=58 time=355 ms
8200 bytes from 95.120.255.29: icmp_seq=7 ttl=58 time=173 ms
8200 bytes from 95.120.255.29: icmp_seq=8 ttl=58 time=196 ms
8200 bytes from 95.120.255.29: icmp_seq=9 ttl=58 time=219 ms
8200 bytes from 95.120.255.29: icmp_seq=10 ttl=58 time=241 ms
8200 bytes from 95.120.255.29: icmp_seq=11 ttl=58 time=264 ms
8200 bytes from 95.120.255.29: icmp_seq=12 ttl=58 time=287 ms
8200 bytes from 95.120.255.29: icmp_seq=13 ttl=58 time=310 ms
8200 bytes from 95.120.255.29: icmp_seq=14 ttl=58 time=333 ms
8200 bytes from 95.120.255.29: icmp_seq=15 ttl=58 time=356 ms
8200 bytes from 95.120.255.29: icmp_seq=16 ttl=58 time=379 ms
8200 bytes from 95.120.255.29: icmp_seq=17 ttl=58 time=286 ms
8200 bytes from 95.120.255.29: icmp_seq=18 ttl=58 time=309 ms
8200 bytes from 95.120.255.29: icmp_seq=19 ttl=58 time=332 ms
8200 bytes from 95.120.255.29: icmp_seq=20 ttl=58 time=355 ms
8200 bytes from 95.120.255.29: icmp_seq=21 ttl=58 time=378 ms
8200 bytes from 95.120.255.29: icmp_seq=22 ttl=58 time=196 ms
8200 bytes from 95.120.255.29: icmp_seq=23 ttl=58 time=218 ms
8200 bytes from 95.120.255.29: icmp_seq=24 ttl=58 time=150 ms
8200 bytes from 95.120.255.29: icmp_seq=25 ttl=58 time=263 ms
8200 bytes from 95.120.255.29: icmp_seq=26 ttl=58 time=286 ms
8200 bytes from 95.120.255.29: icmp_seq=27 ttl=58 time=310 ms
8200 bytes from 95.120.255.29: icmp_seq=28 ttl=58 time=332 ms
8200 bytes from 95.120.255.29: icmp_seq=29 ttl=58 time=355 ms
8200 bytes from 95.120.255.29: icmp_seq=30 ttl=58 time=378 ms
8200 bytes from 95.120.255.29: icmp_seq=31 ttl=58 time=197 ms
8200 bytes from 95.120.255.29: icmp_seq=32 ttl=58 time=220 ms
8200 bytes from 95.120.255.29: icmp_seq=33 ttl=58 time=242 ms
8200 bytes from 95.120.255.29: icmp_seq=34 ttl=58 time=265 ms
8200 bytes from 95.120.255.29: icmp_seq=35 ttl=58 time=288 ms
8200 bytes from 95.120.255.29: icmp_seq=36 ttl=58 time=180 ms
8200 bytes from 95.120.255.29: icmp_seq=37 ttl=58 time=334 ms
8200 bytes from 95.120.255.29: icmp_seq=38 ttl=58 time=356 ms
8200 bytes from 95.120.255.29: icmp_seq=39 ttl=58 time=379 ms
8200 bytes from 95.120.255.29: icmp_seq=40 ttl=58 time=197 ms
8200 bytes from 95.120.255.29: icmp_seq=41 ttl=58 time=220 ms
8200 bytes from 95.120.255.29: icmp_seq=42 ttl=58 time=242 ms
8200 bytes from 95.120.255.29: icmp_seq=43 ttl=58 time=265 ms
8200 bytes from 95.120.255.29: icmp_seq=44 ttl=58 time=287 ms
8200 bytes from 95.120.255.29: icmp_seq=45 ttl=58 time=310 ms
8200 bytes from 95.120.255.29: icmp_seq=46 ttl=58 time=152 ms
8200 bytes from 95.120.255.29: icmp_seq=47 ttl=58 time=355 ms
8200 bytes from 95.120.255.29: icmp_seq=48 ttl=58 time=378 ms
8200 bytes from 95.120.255.29: icmp_seq=49 ttl=58 time=196 ms
8200 bytes from 95.120.255.29: icmp_seq=50 ttl=58 time=219 ms
8200 bytes from 95.120.255.29: icmp_seq=51 ttl=58 time=242 ms
8200 bytes from 95.120.255.29: icmp_seq=52 ttl=58 time=265 ms
8200 bytes from 95.120.255.29: icmp_seq=53 ttl=58 time=288 ms
8200 bytes from 95.120.255.29: icmp_seq=54 ttl=58 time=310 ms
8200 bytes from 95.120.255.29: icmp_seq=55 ttl=58 time=333 ms
8200 bytes from 95.120.255.29: icmp_seq=56 ttl=58 time=155 ms
8200 bytes from 95.120.255.29: icmp_seq=57 ttl=58 time=174 ms
8200 bytes from 95.120.255.29: icmp_seq=58 ttl=58 time=197 ms
8200 bytes from 95.120.255.29: icmp_seq=59 ttl=58 time=219 ms
8200 bytes from 95.120.255.29: icmp_seq=60 ttl=58 time=242 ms
8200 bytes from 95.120.255.29: icmp_seq=61 ttl=58 time=265 ms
8200 bytes from 95.120.255.29: icmp_seq=62 ttl=58 time=208 ms
8200 bytes from 95.120.255.29: icmp_seq=63 ttl=58 time=310 ms
8200 bytes from 95.120.255.29: icmp_seq=64 ttl=58 time=333 ms
8200 bytes from 95.120.255.29: icmp_seq=65 ttl=58 time=356 ms
8200 bytes from 95.120.255.29: icmp_seq=66 ttl=58 time=379 ms
8200 bytes from 95.120.255.29: icmp_seq=67 ttl=58 time=197 ms
8200 bytes from 95.120.255.29: icmp_seq=68 ttl=58 time=220 ms
8200 bytes from 95.120.255.29: icmp_seq=69 ttl=58 time=244 ms
8200 bytes from 95.120.255.29: icmp_seq=70 ttl=58 time=267 ms
8200 bytes from 95.120.255.29: icmp_seq=71 ttl=58 time=290 ms
8200 bytes from 95.120.255.29: icmp_seq=72 ttl=58 time=313 ms
8200 bytes from 95.120.255.29: icmp_seq=73 ttl=58 time=336 ms
8200 bytes from 95.120.255.29: icmp_seq=74 ttl=58 time=359 ms
8200 bytes from 95.120.255.29: icmp_seq=75 ttl=58 time=177 ms
8200 bytes from 95.120.255.29: icmp_seq=76 ttl=58 time=200 ms
8200 bytes from 95.120.255.29: icmp_seq=77 ttl=58 time=223 ms
8200 bytes from 95.120.255.29: icmp_seq=78 ttl=58 time=246 ms
8200 bytes from 95.120.255.29: icmp_seq=79 ttl=58 time=269 ms
8200 bytes from 95.120.255.29: icmp_seq=80 ttl=58 time=292 ms
8200 bytes from 95.120.255.29: icmp_seq=81 ttl=58 time=315 ms
8200 bytes from 95.120.255.29: icmp_seq=82 ttl=58 time=338 ms
8200 bytes from 95.120.255.29: icmp_seq=83 ttl=58 time=361 ms
8200 bytes from 95.120.255.29: icmp_seq=84 ttl=58 time=179 ms
8200 bytes from 95.120.255.29: icmp_seq=85 ttl=58 time=202 ms
8200 bytes from 95.120.255.29: icmp_seq=86 ttl=58 time=225 ms
8200 bytes from 95.120.255.29: icmp_seq=87 ttl=58 time=247 ms
8200 bytes from 95.120.255.29: icmp_seq=88 ttl=58 time=270 ms
8200 bytes from 95.120.255.29: icmp_seq=89 ttl=58 time=149 ms
8200 bytes from 95.120.255.29: icmp_seq=90 ttl=58 time=315 ms
8200 bytes from 95.120.255.29: icmp_seq=91 ttl=58 time=338 ms
8200 bytes from 95.120.255.29: icmp_seq=92 ttl=58 time=279 ms
8200 bytes from 95.120.255.29: icmp_seq=93 ttl=58 time=383 ms
8200 bytes from 95.120.255.29: icmp_seq=94 ttl=58 time=201 ms
8200 bytes from 95.120.255.29: icmp_seq=95 ttl=58 time=224 ms
8200 bytes from 95.120.255.29: icmp_seq=96 ttl=58 time=247 ms
8200 bytes from 95.120.255.29: icmp_seq=97 ttl=58 time=270 ms
8200 bytes from 95.120.255.29: icmp_seq=98 ttl=58 time=293 ms
8200 bytes from 95.120.255.29: icmp_seq=99 ttl=58 time=316 ms
8200 bytes from 95.120.255.29: icmp_seq=100 ttl=58 time=338 ms

--- 95.120.255.29 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99231ms
rtt min/avg/max/mdev = 149.158/273.601/383.262/63.624 ms
